trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
138,False,"{'a': 0.2, 'e': 0.8710385479118223}",30,0,-53.07071090406019,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 0}",0
139,False,"{'a': 0.2, 'e': 0.8701675093639105}",25,0,-102.23619523158106,"{0: 15, 1: 0, 2: 8, 3: 2, 4: 0}",0
140,False,"{'a': 0.2, 'e': 0.8692973418545467}",25,0,-97.27415202427159,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
141,False,"{'a': 0.2, 'e': 0.8684280445126921}",30,0,-133.67267017917817,"{0: 22, 1: 3, 2: 2, 3: 0, 4: 3}",0
142,False,"{'a': 0.2, 'e': 0.8675596164681794}",25,0,-182.44380214704944,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
143,False,"{'a': 0.2, 'e': 0.8666920568517111}",25,0,-158.90791325512055,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
144,False,"{'a': 0.2, 'e': 0.8658253647948594}",25,0,-233.67801761067096,"{0: 11, 1: 4, 2: 5, 3: 1, 4: 4}",0
145,False,"{'a': 0.2, 'e': 0.8649595394300645}",30,0,-240.91395486891682,"{0: 16, 1: 2, 2: 7, 3: 1, 4: 4}",0
146,False,"{'a': 0.2, 'e': 0.8640945798906344}",20,0,-175.44140537180243,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
147,False,"{'a': 0.2, 'e': 0.8632304853107438}",25,0,-73.04470629048653,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
148,False,"{'a': 0.2, 'e': 0.862367254825433}",25,2,-32.46297708338221,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 0}",1
149,False,"{'a': 0.2, 'e': 0.8615048875706075}",25,0,-27.42910625826086,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
150,False,"{'a': 0.2, 'e': 0.8606433826830369}",25,0,-43.50521612650155,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
151,False,"{'a': 0.2, 'e': 0.8597827393003539}",25,0,-67.3058200268641,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
152,False,"{'a': 0.2, 'e': 0.8589229565610536}",20,0,-48.23578853570623,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
153,False,"{'a': 0.2, 'e': 0.8580640336044925}",25,0,-116.7135915506338,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
154,False,"{'a': 0.2, 'e': 0.857205969570888}",20,0,-154.39787802224447,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
